               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055963,            0.072435,            0.006376,              0.4683,             0.32532,             0.32246,             0.12694,             0.05709,            0.084609,           0.0069187,            0.070012,           0.0033319,           0.0033319
                   1,            0.053806,            0.073441,           0.0056128,             0.57023,              0.4088,             0.42537,             0.18462,            0.050102,            0.076513,           0.0049802,            0.039881,           0.0065333,           0.0065333
                   2,            0.052829,            0.073005,            0.005424,             0.57091,             0.41146,             0.43031,             0.18708,            0.049405,            0.075905,           0.0048336,           0.0096165,           0.0096027,           0.0096027
                   3,            0.053079,            0.073134,           0.0055318,             0.58193,             0.42265,             0.44237,             0.19829,              0.0477,            0.074145,           0.0048332,            0.009406,            0.009406,            0.009406
                   4,             0.05297,            0.073031,            0.005485,             0.59577,             0.43992,             0.46139,             0.20725,            0.046498,             0.07273,             0.00437,            0.009406,            0.009406,            0.009406
                   5,            0.052751,            0.072787,           0.0054611,             0.59868,             0.44169,             0.46584,             0.21133,            0.045987,             0.07204,           0.0042411,            0.009208,            0.009208,            0.009208
                   6,            0.052671,            0.072607,           0.0053722,             0.60299,             0.44639,             0.47179,             0.21403,             0.04582,            0.071861,           0.0042488,             0.00901,             0.00901,             0.00901
                   7,            0.052426,            0.072486,           0.0053522,             0.60727,             0.45009,             0.47474,             0.21642,            0.045592,            0.071621,           0.0041755,            0.008812,            0.008812,            0.008812
                   8,            0.052357,            0.072208,            0.005394,              0.6088,             0.44959,              0.4752,             0.21707,            0.045528,             0.07157,           0.0041548,            0.008614,            0.008614,            0.008614
                   9,            0.052134,            0.072112,           0.0053385,              0.6063,             0.44979,             0.47587,              0.2174,            0.045491,            0.071558,           0.0041673,            0.008416,            0.008416,            0.008416
                  10,            0.052023,            0.072123,           0.0052992,             0.60834,             0.44833,               0.476,             0.21799,            0.045483,            0.071536,           0.0041773,            0.008218,            0.008218,            0.008218
                  11,            0.051882,            0.071851,           0.0052551,             0.60772,             0.44929,             0.47628,             0.21825,            0.045475,            0.071549,           0.0041832,             0.00802,             0.00802,             0.00802
                  12,            0.051674,            0.071805,           0.0052088,             0.61047,              0.4476,             0.47621,             0.21811,              0.0455,            0.071563,           0.0042062,            0.007822,            0.007822,            0.007822
                  13,            0.051507,            0.071694,           0.0051932,             0.60847,             0.44778,              0.4756,             0.21797,            0.045518,            0.071612,            0.004226,            0.007624,            0.007624,            0.007624
                  14,            0.051333,            0.071455,            0.005152,               0.609,             0.44626,             0.47484,             0.21783,            0.045536,            0.071664,           0.0042327,            0.007426,            0.007426,            0.007426
                  15,            0.051242,            0.071239,           0.0051058,              0.6107,             0.44338,             0.47354,             0.21753,            0.045577,            0.071744,            0.004255,            0.007228,            0.007228,            0.007228
                  16,            0.051055,            0.071052,           0.0050843,             0.60934,              0.4419,             0.47181,             0.21699,            0.045622,             0.07185,           0.0042847,             0.00703,             0.00703,             0.00703
                  17,             0.05101,            0.071065,           0.0050841,             0.60983,             0.44124,             0.47092,             0.21673,            0.045658,            0.071933,           0.0042993,            0.006832,            0.006832,            0.006832
                  18,            0.050734,            0.071055,           0.0050102,             0.61086,              0.4399,             0.47043,             0.21665,             0.04569,            0.072004,            0.004305,            0.006634,            0.006634,            0.006634
                  19,            0.050626,            0.070898,           0.0050111,             0.61021,             0.44014,             0.47034,             0.21681,            0.045701,            0.072043,            0.004294,            0.006436,            0.006436,            0.006436
                  20,            0.050483,            0.070804,           0.0049437,             0.61017,             0.43825,             0.46968,             0.21645,            0.045718,            0.072134,           0.0042527,            0.006238,            0.006238,            0.006238
                  21,            0.050235,             0.07054,           0.0049158,              0.6112,             0.43844,             0.46968,             0.21653,            0.045727,            0.072187,           0.0042502,             0.00604,             0.00604,             0.00604
                  22,            0.050123,            0.070379,            0.004838,             0.61008,              0.4389,             0.46967,             0.21677,            0.045727,            0.072198,           0.0042512,            0.005842,            0.005842,            0.005842
                  23,            0.049983,            0.070269,           0.0048266,             0.60888,             0.43974,              0.4699,             0.21703,            0.045707,            0.072193,           0.0042387,            0.005644,            0.005644,            0.005644
                  24,            0.049822,            0.069994,            0.004849,             0.61022,             0.44033,             0.47062,             0.21745,            0.045684,             0.07217,           0.0042275,            0.005446,            0.005446,            0.005446
                  25,            0.049645,            0.069896,           0.0047953,             0.61235,             0.43951,             0.47107,             0.21781,            0.045644,            0.072157,           0.0042149,            0.005248,            0.005248,            0.005248
                  26,            0.049472,            0.069907,           0.0047405,             0.61287,              0.4411,             0.47278,             0.21853,            0.045591,            0.072123,           0.0041932,             0.00505,             0.00505,             0.00505
                  27,            0.049224,             0.06952,           0.0046913,             0.61344,             0.44283,             0.47451,             0.21928,            0.045534,            0.072055,           0.0041688,            0.004852,            0.004852,            0.004852
                  28,            0.049058,            0.069538,           0.0046359,             0.61658,             0.44293,             0.47563,             0.21998,            0.045477,            0.072005,           0.0041501,            0.004654,            0.004654,            0.004654
                  29,            0.048855,             0.06937,             0.00463,             0.61764,              0.4447,             0.47747,             0.22082,            0.045412,            0.071944,           0.0041264,            0.004456,            0.004456,            0.004456
                  30,            0.048655,            0.069086,           0.0045783,             0.61815,             0.44713,             0.47924,             0.22172,            0.045344,            0.071906,           0.0041032,            0.004258,            0.004258,            0.004258
                  31,            0.048502,             0.06888,           0.0045422,             0.62077,             0.44736,             0.48019,             0.22238,            0.045271,            0.071879,           0.0040827,             0.00406,             0.00406,             0.00406
                  32,             0.04836,             0.06871,           0.0045244,              0.6219,              0.4485,             0.48147,             0.22314,            0.045184,            0.071855,           0.0040604,            0.003862,            0.003862,            0.003862
