               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063284,            0.082533,           0.0075839,              0.5377,             0.36954,             0.38335,             0.16614,             0.05156,            0.081378,           0.0052678,            0.070007,           0.0033326,           0.0033326
                   1,            0.054926,            0.078639,           0.0056625,             0.58929,             0.42381,             0.44459,             0.19843,            0.047554,            0.077456,           0.0042936,            0.040005,           0.0066643,           0.0066643
                   2,            0.053608,            0.077566,           0.0053982,             0.59822,              0.4343,             0.45699,             0.20935,            0.045954,            0.076415,           0.0039545,            0.009997,           0.0099894,           0.0099894
                   3,            0.052728,            0.076654,           0.0052308,             0.61589,             0.44495,             0.47309,             0.21647,            0.045279,            0.075206,            0.003875,           0.0099778,           0.0099778,           0.0099778
                   4,            0.052151,            0.076267,            0.005112,             0.61631,             0.45185,             0.47931,             0.22133,            0.044696,            0.074505,           0.0036974,           0.0099778,           0.0099778,           0.0099778
                   5,            0.051828,            0.075907,           0.0050119,              0.6183,             0.45605,             0.48494,             0.22406,            0.044459,            0.074295,           0.0036643,           0.0099606,           0.0099606,           0.0099606
                   6,            0.051732,            0.075664,            0.004996,             0.62096,             0.45792,             0.48755,             0.22564,            0.044275,            0.073935,           0.0036089,           0.0099385,           0.0099385,           0.0099385
                   7,            0.051546,            0.075878,           0.0049993,             0.62282,             0.45884,             0.48895,             0.22647,             0.04418,            0.073912,           0.0036235,           0.0099115,           0.0099115,           0.0099115
                   8,            0.051412,            0.075461,           0.0049535,             0.62484,             0.45971,              0.4885,             0.22689,             0.04417,            0.073913,           0.0036151,           0.0098796,           0.0098796,           0.0098796
                   9,            0.051358,            0.075441,           0.0049358,             0.62406,             0.45932,             0.48874,             0.22651,            0.044211,            0.073987,           0.0036282,            0.009843,            0.009843,            0.009843
                  10,            0.051297,            0.075162,           0.0048999,             0.62491,             0.45551,             0.48746,             0.22601,            0.044282,            0.074135,           0.0036538,           0.0098016,           0.0098016,           0.0098016
                  11,            0.051212,            0.075118,           0.0049528,             0.62122,             0.45316,             0.48498,             0.22506,            0.044375,            0.074396,           0.0036795,           0.0097554,           0.0097554,           0.0097554
                  12,            0.051067,            0.074961,           0.0048584,              0.6185,             0.45033,             0.48151,              0.2235,             0.04447,            0.074765,           0.0037314,           0.0097046,           0.0097046,           0.0097046
                  13,            0.050991,            0.074767,           0.0048638,             0.61572,             0.44736,             0.47867,             0.22214,            0.044591,            0.075194,           0.0037672,           0.0096491,           0.0096491,           0.0096491
                  14,            0.050971,            0.075037,           0.0048649,             0.61449,             0.44283,               0.475,             0.22035,            0.044745,             0.07575,           0.0038332,            0.009589,            0.009589,            0.009589
                  15,            0.050938,             0.07472,           0.0048713,             0.61232,             0.43833,             0.47104,             0.21864,            0.044927,            0.076368,           0.0038882,           0.0095244,           0.0095244,           0.0095244
                  16,            0.050831,            0.074749,           0.0048424,             0.60956,              0.4346,             0.46669,              0.2164,            0.045172,            0.077133,           0.0039477,           0.0094553,           0.0094553,           0.0094553
                  17,            0.050727,            0.074837,           0.0047964,             0.60823,             0.42913,             0.46191,             0.21415,            0.045469,            0.077993,           0.0040125,           0.0093818,           0.0093818,           0.0093818
                  18,            0.050722,            0.074833,           0.0048093,              0.6079,             0.42395,               0.457,              0.2118,             0.04582,            0.078934,           0.0040988,           0.0093041,           0.0093041,           0.0093041
                  19,            0.050615,            0.074555,           0.0048149,             0.60577,             0.41802,             0.45174,             0.20924,            0.046187,            0.079893,           0.0041924,            0.009222,            0.009222,            0.009222
                  20,            0.050587,             0.07454,           0.0047996,             0.60553,             0.41311,             0.44687,             0.20688,            0.046554,            0.080728,           0.0042991,           0.0091358,           0.0091358,           0.0091358
                  21,            0.050442,            0.074258,           0.0047825,             0.60324,             0.40846,             0.44175,             0.20437,            0.046918,            0.081547,           0.0044095,           0.0090456,           0.0090456,           0.0090456
                  22,            0.050451,            0.074352,           0.0047892,             0.60135,             0.40356,             0.43631,             0.20181,            0.047259,            0.082292,           0.0045129,           0.0089513,           0.0089513,           0.0089513
                  23,            0.050343,            0.074446,           0.0047474,             0.60016,             0.39834,             0.43134,             0.19958,            0.047618,            0.083069,           0.0046112,           0.0088531,           0.0088531,           0.0088531
